date,open,high,low,close,adjclose,volume
1993-01-01,43.96875,43.96875,43.75,43.9375,26.184059143066406,1003200
1993-02-01,43.96875,45.125,42.8125,44.40625,26.463403701782227,5417600
1993-03-01,44.5625,45.84375,44.21875,45.1875,26.92896270751953,3019200
1993-04-01,45.25,45.25,43.28125,44.03125,26.36384391784668,2697200
1993-05-01,44.09375,45.65625,43.84375,45.21875,27.074867248535156,1808000
1993-06-01,45.375,45.8125,44.21875,45.0625,26.981304168701172,3438000
1993-07-01,45.125,45.21875,44.15625,44.84375,27.040630340576172,6117600
1993-08-01,44.90625,46.5625,44.84375,46.5625,28.07703971862793,5440100
1993-09-01,46.40625,46.59375,44.8125,45.9375,27.70016098022461,4369900
1993-10-01,45.875,47.15625,45.71875,46.84375,28.422622680664062,6972900
1993-11-01,46.78125,47.0,45.53125,46.34375,28.119239807128906,5351100
1993-12-01,46.59375,47.15625,46.375,46.59375,28.270933151245117,6128000
1994-01-01,46.59375,48.3125,46.40625,48.21875,29.45719337463379,6837100
1994-02-01,48.15625,48.28125,46.5625,46.8125,28.59808921813965,10974400
1994-03-01,46.8125,47.3125,43.53125,44.59375,27.242643356323242,14705500
1994-04-01,43.34375,45.359375,43.34375,45.09375,27.70700454711914,11429000
1994-05-01,45.09375,45.9375,44.171875,45.8125,28.14862060546875,8545100
1994-06-01,45.703125,46.5625,44.0,44.46875,27.322986602783203,10352700
1994-07-01,44.6875,46.046875,44.375,45.90625,28.392723083496094,5452100
1994-08-01,45.9375,47.984375,45.65625,47.65625,29.47507095336914,7945800
1994-09-01,47.5,47.71875,45.734375,46.171875,28.5570011138916,6309300
1994-10-01,46.203125,47.703125,45.0,47.484375,29.547388076782227,5437600
1994-11-01,47.28125,47.328125,44.609375,45.59375,28.37095069885254,4807300
1994-12-01,45.640625,46.40625,44.6875,45.5625,28.35150146484375,8568500
1995-01-01,45.703125,47.234375,45.6875,47.09375,29.537982940673828,2768000
1995-02-01,47.15625,49.15625,47.0,49.015625,30.743408203125,5954800
1995-03-01,48.96875,50.890625,48.21875,50.109375,31.429428100585938,4538000
1995-04-01,50.09375,51.671875,50.0625,51.59375,32.53560256958008,4395200
1995-05-01,51.546875,53.640625,51.390625,53.640625,33.826385498046875,6986200
1995-06-01,53.40625,55.15625,52.75,54.40625,34.30922317504883,5790900
1995-07-01,54.46875,56.703125,54.203125,56.15625,35.62074661254883,5508200
1995-08-01,56.234375,56.796875,55.421875,56.40625,35.779319763183594,8100100
1995-09-01,56.390625,58.90625,56.34375,58.484375,37.09749984741211,7431600
1995-10-01,58.484375,59.1875,57.265625,58.3125,37.1859016418457,8944800
1995-11-01,58.28125,61.203125,58.234375,60.90625,38.83995056152344,8841700
1995-12-01,60.984375,62.796875,60.578125,61.484375,39.208621978759766,9816800
1996-01-01,61.40625,63.6875,59.640625,63.671875,40.854610443115234,10661800
1996-02-01,63.609375,66.6875,63.4375,63.875,40.98493957519531,14850400
1996-03-01,64.640625,65.96875,62.0,64.6875,41.50628662109375,19022700
1996-04-01,65.0,65.8125,62.125,65.390625,42.143802642822266,14999300
1996-05-01,65.375,68.4375,63.078125,66.875,43.1004638671875,17453200
1996-06-01,66.890625,68.5,66.15625,67.109375,43.25150680541992,16871800
1996-07-01,67.28125,67.703125,60.375,64.09375,41.5268440246582,28811500
1996-08-01,64.15625,67.34375,64.0625,65.328125,42.32661056518555,15593100
1996-09-01,64.46875,69.25,64.375,68.625,44.462669372558594,17216100
1996-10-01,68.703125,71.625,68.4375,70.84375,46.13644790649414,14791800
1996-11-01,70.984375,76.6875,70.265625,76.015625,49.50457763671875,24089700
