,ETF,Start date,End date,Initial deposit,Total trades,Profit trades,Loss trades,Maximal drawdown,Sharpe ratio,Total net profit,Total return,CAGR
0,SPY,2019-07-23,2020-07-23,100000,4,100.0,0.0,-12.64,1.76,39347.7,39.35,39.22
1,QQQ,2019-07-23,2020-07-23,100000,10,100.0,0.0,-1.74,5.4,76470.07,76.47,76.2
2,TLT,2019-07-23,2020-07-23,100000,10,100.0,0.0,-6.92,1.79,36177.0,36.18,36.07
3,GLD,2019-07-23,2020-07-23,100000,0,100.0,0.0,-10.24,1.44,29208.9,29.21,29.12
4,IWM,2019-07-23,2020-07-23,100000,8,100.0,0.0,-10.47,1.44,35712.33,35.71,35.6
5,EFA,2019-07-23,2020-07-23,100000,4,100.0,0.0,-33.14,-0.03,1152.38,1.15,1.15
6,HYG,2019-07-23,2020-07-23,100000,11,90.91,9.09,-3.69,2.0,14083.74,14.08,14.04
7,XLV,2019-07-23,2020-07-23,100000,2,100.0,0.0,-10.64,1.33,27612.83,27.61,27.53
