,ETF,Start date,End date,Initial deposit,Total trades,Profit trades,Loss trades,Maximal drawdown,Sharpe ratio,Total net profit,Total return,CAGR
0,SPY,2020-01-01,2020-07-23,100000,4,75.0,25.0,-4.89,2.33,16176.83,16.18,30.78
1,QQQ,2020-01-01,2020-07-23,100000,9,88.89,11.11,-9.49,1.6,17700.12,17.7,33.85
2,TLT,2020-01-01,2020-07-23,100000,8,75.0,25.0,-7.0,2.7,30996.76,31.0,62.12
3,GLD,2020-01-01,2020-07-23,100000,5,100.0,0.0,-3.48,3.78,21781.59,21.78,42.27
4,IWM,2020-01-01,2020-07-23,100000,5,80.0,20.0,-5.31,1.97,15739.12,15.74,29.89
5,EFA,2020-01-01,2020-07-23,100000,4,50.0,50.0,-4.62,1.94,14915.33,14.92,28.25
6,HYG,2020-01-01,2020-07-23,100000,4,75.0,25.0,-3.69,1.82,8745.56,8.75,16.19
7,XLV,2020-01-01,2020-07-23,100000,7,100.0,0.0,-0.0,3.74,21538.23,21.54,41.77
