,ETF,Start date,End date,Initial deposit,Total trades,Profit trades,Loss trades,Maximal drawdown,Sharpe ratio,Total net profit,Total return,CAGR
0,SPY,2020-01-01,2020-07-23,100000,3,100.0,0.0,-22.85,0.56,11621.12,11.62,21.74
1,QQQ,2020-01-01,2020-07-23,100000,10,100.0,0.0,-0.21,6.24,47875.42,47.88,101.37
2,TLT,2020-01-01,2020-07-23,100000,7,100.0,0.0,-6.68,3.53,37193.82,37.19,76.08
3,GLD,2020-01-01,2020-07-23,100000,4,100.0,0.0,-3.48,4.66,36516.56,36.52,74.54
4,IWM,2020-01-01,2020-07-23,100000,4,100.0,0.0,-9.86,1.22,19482.64,19.48,37.5
5,EFA,2020-01-01,2020-07-23,100000,4,100.0,0.0,-4.76,1.76,13973.08,13.97,26.36
6,HYG,2020-01-01,2020-07-23,100000,4,75.0,25.0,-3.69,2.28,10735.75,10.74,20.02
7,XLV,2020-01-01,2020-07-23,100000,3,66.67,33.33,-23.22,0.07,2300.18,2.3,4.15
