date,ama,pn_er,tr,target
1998-12-01,24.8125,0.0,1.1875,26.0
1999-01-01,25.3875,0.0,2.34375,26.045454545454547
1999-02-01,26.145,0.0,1.796875,26.270144628099175
1999-03-01,26.5745,0.0,1.75,26.442618332081143
1999-04-01,27.10591088435374,0.9107142857142857,2.9375,26.239374414559894
1999-05-01,27.479239866828337,0.908256880733945,2.359375,26.18975296137052
1999-06-01,27.550086347640647,0.1623931623931624,1.6875,26.463381793568885
1999-07-01,27.75546178069943,0.42105263157894735,1.5625,26.708376969857795
1999-08-01,27.68290691703167,0.10666666666666667,1.96875,26.75730842988365
1999-09-01,27.473445781566717,-0.477124183006536,2.203125,26.870134036214964
1999-10-01,27.335949070371477,-0.32489451476793246,3.171875,27.106814211448604
1999-11-01,27.495224113347813,-0.23137254901960785,1.984375,27.36012071845795
1999-12-01,27.590638079035283,-0.00909090909090909,2.515625,27.56584773658956
2000-01-01,28.497548804863104,0.8689655172413793,3.78125,27.430893445924372
2000-02-01,28.38866612984152,0.6884735202492211,4.8125,26.95752121644733
2000-03-01,28.37673241982077,-0.005747126436781609,4.140625,27.19968493989369
2000-04-01,28.743777370592426,0.3096646942800789,3.984375,27.54132035695444
2000-05-01,28.838967298950205,-0.10052910052910052,2.59375,28.07643923866258
2000-06-01,28.932119202919818,-0.1099476439790576,1.59375,28.356190052956197
2000-07-01,28.963858157529607,0.22743682310469315,1.8125,28.421022908441024
2000-08-01,28.990814894517765,-1.0,1.625,28.736518743269926
2000-09-01,29.00109155625607,-0.15789473684210525,2.28125,28.991571555498357
2000-10-01,29.035048177925127,-0.13513513513513514,5.28125,29.084013090862296
2000-11-01,28.735828539847486,0.1292517006802721,4.0,28.577009473847134
2000-12-01,28.301168840815443,-0.45394736842105265,2.84375,28.33796663290842
2001-01-01,27.867046149225406,-0.782258064516129,4.109375,28.498336211171342
2001-02-01,27.95336608891628,0.0446927374301676,2.0599994659423864,28.510990142262816
2001-03-01,27.78938008645814,-0.1622618011003612,4.29000091552734,28.552415874438342
2001-04-01,27.705731756744417,0.014492903187759837,3.55999946594239,28.251686812782477
2001-05-01,27.916106867769873,0.27038626140998684,2.4799995422363352,28.245824044117423
2001-06-01,28.099379392364668,0.05555543781793627,1.7299995422363317,28.465472100653674
2001-07-01,28.23850759349694,0.21794848282183293,1.970001220703118,28.477320865491777
2001-08-01,28.053162742134322,0.5000002509671027,2.139999389648441,28.103262442534092
2001-09-01,27.00658736239416,-0.44171759758199675,7.0100002288818395,28.15338434407057
2001-10-01,25.603952417436496,-1.0,1.7900009155273438,27.404950876904685
2001-11-01,24.750371175803693,-1.0,3.329999923706062,27.214959919349567
2001-12-01,25.032789698083928,-0.3267569415356674,1.8900012969970703,27.166785527275
2002-01-01,25.21330305924422,-0.03242540933764313,2.25,27.104271280681306
2002-02-01,25.896443398036144,0.9079273432560916,2.150001525878899,26.7394863321343
2002-03-01,26.71751769742979,0.9385240022872564,2.1900005340576207,26.604058120987258
2002-04-01,27.602439201566053,0.9062491245575146,1.80999946594239,26.759627544445912
2002-05-01,28.29473548820278,0.884614312438108,1.5,27.01661863297263
2002-06-01,28.04884141499198,1.0,3.420000076293938,26.515415286774306
2002-07-01,27.89248405894834,-0.12643653969431687,6.030000686645508,26.736016821243002
2002-08-01,27.56617857882712,-0.5853657061538997,3.810001373291012,26.85111812760547
2002-09-01,26.88457253646231,-0.7105266592179652,2.5499992370605504,26.940651553265504
2002-10-01,26.411366961428648,-0.9554572286423549,3.139999389648441,26.925987745462965
2002-11-01,26.44669428780588,-0.3020135345054333,1.6199989318847585,27.06489916157108
2002-12-01,26.467088519117056,0.3352770133241995,2.0500011444091797,26.84631403693122
2003-01-01,26.46638894935179,-0.011286508716970924,2.3799991607666016,26.78095893307955
2003-02-01,26.363239655853782,0.2550140291162921,1.9699993133544922,26.52398883197027
2003-03-01,26.307219273980575,-0.19354848633446492,2.5400009155273438,26.559627101312856
2003-04-01,26.423793507193537,-0.3553118620336959,1.6900005340576136,26.748785879523197
2003-05-01,26.689952813764336,0.3827161269053861,1.779998779296875,26.794236822603885
2003-06-01,27.17964195574948,0.6271190166611798,3.1800003051757777,26.723604846524303
2003-07-01,27.863784929309066,1.0,1.4799995422363317,26.848403937594814
2003-08-01,27.849905409204208,0.7276263320818046,1.4799995422363317,26.82926014101831
2003-09-01,27.845474233669986,0.05185161114399899,1.6000003814697301,26.992492273257195
2003-10-01,27.868911988822568,-0.18518485813664493,1.4099998474121165,27.189917893849472
2003-11-01,27.946229814344374,-0.5900623619838323,1.9400005340576136,27.446296527962247
2003-12-01,28.04635604611956,0.05102057697267118,1.5799999237060511,27.686858590831925
2004-01-01,28.907813932847514,1.0,1.25,27.91652080394238
2004-02-01,29.76468805453273,1.0,1.0399990081787145,28.297153426658642
2004-03-01,29.830812954789952,1.0,2.7599983215332067,28.09221680065572
2004-04-01,29.862169192227192,0.2956296234188986,1.6700000762939489,28.349322565324805
2004-05-01,30.009512924731663,0.22598842659942533,1.5899982452392578,28.722296467473814
2004-06-01,30.078545102306332,-0.09897569597015969,1.2700004577636683,29.079278681593475
2004-07-01,29.87005873849397,-0.2779784586697579,2.360000610351559,29.391556954232353
2004-08-01,29.67804936108136,-0.3506493345644402,1.860000610351559,29.39127376067164
2004-09-01,29.432746550108593,-0.593869300609769,1.7299995422363281,29.457991049349594
2004-10-01,29.056409752739302,-0.650164642548471,3.2999992370605504,29.453567906347747
2004-11-01,28.760634220894655,-0.7022469201153424,2.7600002288818395,29.31655569845533
