date,ama,pn_er,tr,target
1998-12-21,24.8125,0.0,0.9375,25.75
1998-12-28,25.15625,0.0,0.65625,25.73046875
1999-01-04,25.59375,0.0,1.203125,25.8603515625
1999-01-11,26.0875,0.0,1.46875,26.102294921875
1999-01-18,26.32125,1.0,1.71875,25.81500244140625
1999-01-25,26.40758654170888,0.46099290780141844,0.671875,25.955694428572418
1999-02-01,26.55183960002121,0.4864864864864865,0.890625,26.108451564672556
1999-02-08,26.590963135127602,0.0847457627118644,1.09375,26.276916004012893
1999-02-15,26.65108751167129,-0.16981132075471697,0.609375,26.52409325300967
1999-02-22,26.802952757305786,0.4782608695652174,1.109375,26.580739776713777
1999-03-01,26.86440062568424,-0.1724137931034483,1.3125,26.97461733253533
1999-03-08,27.218510591230586,0.6326530612244898,0.875,27.11600764225864
1999-03-15,27.623567815485593,0.8214285714285714,0.6875,27.293478945979697
1999-03-22,27.704334153918282,0.625,1.25,27.25135920948477
1999-03-29,27.75625645314964,0.41818181818181815,0.703125,27.349385884386304
1999-04-05,27.874248137233135,0.2558139534883721,1.59375,27.519488541196704
1999-04-12,28.072457291141614,0.4576271186440678,1.9375,27.597640770304306
1999-04-19,28.234730815169883,0.30303030303030304,2.515625,27.742027926213076
1999-04-26,28.49197232074634,0.7904761904761904,1.59375,27.741565587516952
1999-05-03,28.62206848415088,0.2283464566929134,0.875,28.076535903236138
1999-05-10,28.683766234222997,0.009900990099009901,0.96875,28.3675040313875
1999-05-17,28.705613461153664,-0.009708737864077669,0.9375,28.50446600897752
1999-05-24,28.525734453825585,-0.6774193548387096,1.515625,28.760040534958947
1999-05-31,28.35598681075493,-0.6875,1.25,28.82003040121921
1999-06-07,28.294967676939002,-0.20454545454545456,1.0625,28.8188225168235
1999-06-14,28.287522479145437,-0.23076923076923078,1.296875,28.864116887617623
1999-06-21,28.296841072195907,-0.037037037037037035,0.890625,28.750084193490995
1999-06-28,28.317462017203034,0.16853932584269662,1.15625,28.623219746241844
1999-07-05,28.42871088216421,0.13953488372093023,0.5,28.731222949216267
1999-07-12,28.749129930340594,0.5227272727272727,0.5,28.904951302821292
1999-07-19,28.763212168042685,0.4166666666666667,1.28125,28.748374935449302
1999-07-26,28.731505260152375,0.04081632653061224,1.0,28.66826461995432
1999-08-02,28.496311429942807,-0.2564102564102564,1.46875,28.654443657273433
1999-08-09,28.12610067212042,-0.7708333333333334,1.0,28.392395242955075
1999-08-16,27.95193419171318,-0.8279569892473119,0.703125,28.278671432216306
1999-08-23,27.95210901807265,-0.16923076923076924,0.75,28.27321030493146
1999-08-30,27.925252768246487,-0.25517241379310346,1.078125,28.206009560595145
1999-09-06,27.936432656384426,0.5308641975308642,1.5,27.947620596372282
1999-09-13,27.936624665288814,0.2777777777777778,1.109375,27.868050516723656
1999-09-20,27.760452786536273,0.10344827586206896,1.890625,27.488861163404813
1999-09-27,27.498872166783727,-0.5114503816793893,0.6875,27.361767532858956
1999-10-04,27.282948719785235,-0.6335877862595419,0.796875,27.39241939964422
1999-10-11,27.02819322496491,-0.25,1.9375,27.408767674733166
1999-10-18,26.566205510053305,-0.7108433734939759,1.390625,27.228450756049874
1999-10-25,26.57307353896743,-0.07079646017699115,2.28125,27.117964173232096
1999-11-01,26.86788805257643,0.3046153846153846,0.921875,27.303425053000996
1999-11-08,27.024997465688273,0.14285714285714285,1.453125,27.42567146832218
1999-11-15,27.726688014925998,0.8532818532818532,0.65625,27.679262047187578
1999-11-22,28.052449030817755,0.8,0.875,27.756321535390683
1999-11-29,28.11389626883458,0.12280701754385964,1.28125,27.906810778735995
1999-12-06,28.454144021918697,0.5838926174496645,1.0,28.12397867968958
1999-12-13,28.727632121999978,0.41509433962264153,0.875,28.424057122974734
1999-12-20,29.10059342796525,0.5441176470588235,0.8125,28.74658144517223
1999-12-27,29.760356056779152,1.0,0.578125,29.102904833879172
2000-01-03,29.77496363406749,1.0,1.84375,28.81545987540938
2000-01-10,30.702478180440494,1.0,3.140625,28.849876156557038
2000-01-17,31.062927926055533,0.6962025316455697,1.03125,29.426667402227906
2000-01-24,30.829233480499347,0.6307692307692307,1.9375,29.32697170551708
2000-01-31,30.760803501618927,-0.18181818181818182,1.953125,29.90538502913781
2000-02-07,30.74505258449192,-0.18181818181818182,1.0625,30.349777408216994
2000-02-14,30.226291852962955,-0.35714285714285715,2.453125,30.406166761519888
2000-02-21,29.434607325933,-0.5886889460154242,1.625,29.989652786435546
2000-02-28,28.92531337735933,-0.5375722543352601,1.421875,29.65239583982666
2000-03-06,28.61449891909219,-0.6170212765957447,1.328125,29.4140392335934
2000-03-13,28.221621445569944,-0.6111111111111112,2.375,29.38865442519505
2000-03-20,28.486829129627672,0.23450134770889489,2.046875,29.374617082373376
2000-03-27,29.088973676359046,0.5917312661498708,1.375,29.495523939041014
2000-04-03,29.491831722452467,0.4759036144578313,1.6875,29.612277366931362
2000-04-10,28.844949159975304,0.8846153846153846,3.21875,28.427056582890827
2000-04-17,28.597315493102748,-0.4513888888888889,2.453125,28.71872993716812
2000-04-24,28.69168277326563,-0.4564459930313589,1.703125,29.11717245287609
2000-05-01,28.710309978274825,-0.08943089430894309,1.875,29.090737571364386
2000-05-08,28.703256794100923,-0.28964059196617337,0.75,29.09930317852329
2000-05-15,28.727769513453982,0.26,1.34375,28.94807113389247
2000-05-22,28.650548546638817,-0.05128205128205128,0.875,28.7300837991373
2000-05-29,28.529385427966307,-0.7640449438202247,2.21875,29.055375349352975
2000-06-05,28.85024575639439,0.5080213903743316,0.828125,29.139480208538796
